"School_Name","Address"
"TIVOLI ANGLO-CHINESE KINDERGARTEN","G/F 
							TOWER 4, TIVOLI GARDEN 75 TSING KING ROAD TSING YI NEW TERRITORIES"
"TSING YI TRADE ASSOCIATION KINDERGARTEN","G/F, CARPARK BUILDING CHING WAH COURT TSING YI ISLAND NEW TERRITORIES"
"TSING YI TRADE ASSOCIATION SHEK YAM KG","G/F, YAM HENG HOUSE SHEK YAM EAST ESTATE KWAI CHUNG NEW TERRITORIES"
"TSUEN WAN BAPTIST CHURCH SHEK LEI KG","G/F, SHEK WING HOUSE SHEK LEI (II) ESTATE KWAI CHUNG NEW TERRITORIES"
"TSUEN WAN TRADE ASSN CHU CHEONG KG","UNIT NO 1, G/F., HING LOK HOUSE KWAI HING ESTATE KWAI CHUNG NEW TERRITORIES"
"TSUEN WAN TRADE ASSN YAU KIN FUNG KG","WING B AND C, G/F YIU YAM HOUSE  AND  WING B, G/F TAK YAM HOUSE, ON YAM ESTATE TSUEN WAN NEW TERRITORIES"
"TSUEN WAN TRADE ASSOCIATION CHUNG LOI KG","G/F 
							UNIT 1 - 5 & 11 - 15, G/F. CHING NGA COURT TSING YI NEW TERRITORIES"
"TWGH WONG WU LAI MING KINDERGARTEN","G/F, SHEK FU HOUSE SHEK LEI (II) ESTATE KWAI CHUNG NEW TERRITORIES"
"YAN OI TONG PANG HUNG CHEUNG KG","G/F, FU TAI HOUSE (BLOCK 15) TAI WO HAU ESTATE TSUEN WAN NEW TERRITORIES"
"ASBURY METHODIST KINDERGARTEN","TAI WO HAU TSUEN WAN NEW TERRITORIES"
"CHEUNG CHING LUTHERAN DAY NURSERY","2/F 
							309-314 CHING KWAI HOUSE CHEUNG CHING ESTATE TSING YI NEW TERRITORIES"
"CHOICE ENGLISH SCH & KG (TSING YI BR)","G/F - 1/F, BLOCK 1, TSING YI GARDEN TSING YI NEW TERRITORIES"
"CREATIVE KINDERGARTEN (TSING YI)","CARPARK LEVEL 1 & PODIUM ENTRANCE HALL   MOUNT HAVEN 3 LIU TO ROAD TSING YI NEW TERRITORIES"
"ELCHK  GRACE NURSERY SCHOOL","G/F 
							FUNG YAT SOCIAL SERVICE COMPLEX 364 KWAI SHING CIRCUIT KWAI CHUNG NEW TERRITORIES"
"ELCHK  LING KUNG NURSERY SCHOOL","G/F 
							WING A, YEE KUI HOUSE TSING YI ESTATE TSING YI NEW TERRITORIES"
"GOOD HEALTH AC KG (TSING YI SOUTH)","L1 & L2, SHOPPING ARCADE, BLOCK 11 & 12 MAYFAIR GARDENS 2 - 16 SAI SHAN ROAD TSING YI NEW TERRITORIES"
"GOOD HEALTH ANGLO-CHINESE KG (TSING YI)","PART OF 1/F SERENE GARDEN COMMERCIAL BUILDING 77 TSING KING ROAD, TSING YI NEW TERRITORIES"
"HK YNG WOMEN'S CHRISTIAN ASST TY NUR SCH","P1/F. CHING HO HOUSE CHEUNG CHING ESTATE TSING YI NEW TERRITORIES"
"HKSKH LADY MACLEHOSE CTR (SHEK YAM) KG","G/F 
							COMMERCIAL CENTRE SHEK YAM ESTATE PHASE 2 KWAI CHUNG NEW TERRITORIES"
"HKSKH LADY MACLEHOSE CTR KG","3/F 
							22 WO YI HOP ROAD KWAI CHUNG NEW TERRITORIES"
"HKYWCA CHEUNG CHING NURSERY SCHOOL","5/F AND ROOF PLAYGROUND CHEUNG CHING ESTATE COMMUNITY CENTRE CHEUNG CHING ESTATE TSING YI NEW TERRITORIES"
"LAI KING RHENISH NURSERY","1/F BLK 5 
							YEUNG KING HOUSE LAI KING ESTATE KWAI CHUNG NEW TERRITORIES"
"LEARNING HABITAT KG","LEVEL 1, COMMERCIAL BUILDING OF PHASE 1 VILLA ESPLANADA 8 NGA YING CHAU STREET TSING YI NEW TERRITORIES"
"MARITIME SQUARE LUTHERAN DAY NURSERY","PORTION OF G/F MARITIME SQUARE 33 TSING KING ROAD TSING YI NEW TERRITORIES"
"NTW&JWA L CHEUNG FAT NURSERY SCHOOL","5/F 
							CHEUNG FAT ESTATE COMMUNITY CENTRE CHEUNG FAT ESTATE TSING YI NEW TERRITORIES"
"OASIS ENGLISH KINDERGARTEN","SHOPS NO. 21, G/F & NO. 1, 1/F. COMMERCIAL COMPLEX OF WONDERLAND VILLAS 9 WAH KING HILL ROAD KWAI CHUNG NEW TERRITORIES"
"PLK LUI CHAN WAI CHING (KWAI FONG) KG","15-22, G/F KWAI ON HOUSE KWAI FONG ESTATE KWAI CHUNG NEW TERRITORIES"
"PLK MR & MRS CHARLIE LEE KINDERGARTEN","WING B&C, PODIUM LEVEL SHING YAT HOUSE, KWAI SHING EAST ESTATE KWAI CHUNG NEW TERRITORIES"
"SA FU KEUNG KINDERGARTEN","UNITS 121 - 140, G/F, FU KEUNG HOUSE TAI WO HAU ESTATE TSUEN WAN NEW TERRITORIES"
"SA TAI WO HAU NURSERY SCH","215,217,219 & 221-232, 1/F FU KEUNG HOUSE TAI WO HAU  ESTATE TSUEN WAN NEW TERRITORIES"
"SKH ST CHRISTOPHER'S NUR (KWAI CHUNG)","UNIT NO. 1, PODIUM LEVEL 3 KWAI CHUNG SHOPPING CENTRE KWAI CHUNG ESTATE NEW TERRITORIES"
"TIVOLI KINDERGARTEN","SHOP 21-25, 1/F, TSING YI SQUARE TSING YI GARDEN TSING YI NEW TERRITORIES"
"TIVOLI KINDERGARTEN (CHING FU)","G/F. BLOCK A CHING FU COURT TSING YI NEW TERRITORIES"
"TWGHS LIONS CLUB THE PEAK HK NUR SCH","G/F BLK 10 
							KWAI SHING WEST ESTATE KWAI SHING NEW TERRITORIES"
"W.F.B. MANJUSRI NURSERY SCH","G/F 
							HONG ON HOUSE CHEUNG HONG ESTATE TSING YI NEW TERRITORIES"
"YAN CHAI HOSPITAL JU CHING CHU KG","G/F, CHAK YAM HOUSE ON YAM ESTATE KWAI CHUNG NEW TERRITORIES"
"YAN CHAI HOSPITAL TUNG PAK YING KG","G/F, WING B & C, SHEK TAI HOUSE SHEK LEI (I) ESTATE KWAI CHUNG NEW TERRITORIES"
"YCH ZONTA CLUB OF KOWLOON KINDERGARTEN","WING B & PART OF WING A, G/F HANG YIP HOUSE, CHEUNG HANG ESTATE TSING YI NEW TERRITORIES"
"ACCOUNTABLE EDUCATION CENTRE (KWAI FONG)","SHOP 132, KWAI FONG PLAZA KWAI FONG ESTATE 177 HING FONG ROAD KWAI CHUNG NEW TERRITORIES"
"AGAPE LOVE EDUCATION CENTRE","SHOP NO 12 , G/F, TSING YI SQUARE TSING YI GARDEN 7 - 19 TSING LUK STREET TSING YI NEW TERRITORIES"
"AMAZING STAR EDUCATION CENTRE","UNIT 1, 6/F. KWAI FONG COMMERCIAL CENTRE 7 SHING FONG STREET KWAI CHUNG NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (KWAI CHUNG)","SHOP B326 - B327, 3/F. SHEK LEI SHOPPING CENTRE PHASE 2 SHEK LEI ESTATE, 110 TAI LOONG STREET KWAI CHUNG NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (TSING YI)","SHOP 19, 1/F., TSING YI GARDEN 7 - 19 TSING LUK STREET TSING YI NEW TERRITORIES"
"BACHELOR LEARNING CENTRE","G/F, 16 CHUNG MEI ROAD TSING YI NEW TERRITORIES"
"BACHELOR LEARNING CENTRE (CHUNG MEI BR)","G/F, 28 CHUNG MEI ROAD TSING YI NEW TERRITORIES"
"BAND ONE TUTORIAL DAY SCHOOL (SHEK YAM)","SHOP NO LG115, LG1/F SHEK YAM SHOPPING CENTRE SHEK YAM ESTATE KWAI CHUNG NORTH NEW TERRITORIES"
